HJ	E0	Y2	I0	I0	R6	6H	U1	BG
0	0	0	0	0	0	0	0	1
999999	0	0	0	0	0	0	0	1
0	999999	0	0	0	0	0	0	1
999999	999999	0	0	0	0	0	0	1
0	0	999999	0	0	0	0	0	1
999999	0	999999	0	0	0	0	0	1
0	999999	999999	0	0	0	0	0	1
999999	999999	999999	0	0	0	0	0	1
0	0	0	999999	0	0	0	0	1
999999	0	0	999999	0	0	0	0	1
0	999999	0	999999	0	0	0	0	1
999999	999999	0	999999	0	0	0	0	1
0	0	999999	999999	0	0	0	0	1
999999	0	999999	999999	0	0	0	0	1
0	999999	999999	999999	0	0	0	0	1
999999	999999	999999	999999	0	0	0	0	1
0	0	0	0	999999	0	0	0	1
999999	0	0	0	999999	0	0	0	1
0	999999	0	0	999999	0	0	0	1
999999	999999	0	0	999999	0	0	0	1
0	0	999999	0	999999	0	0	0	1
999999	0	999999	0	999999	0	0	0	1
0	999999	999999	0	999999	0	0	0	1
999999	999999	999999	0	999999	0	0	0	1
0	0	0	999999	999999	0	0	0	1
999999	0	0	999999	999999	0	0	0	1
0	999999	0	999999	999999	0	0	0	1
999999	999999	0	999999	999999	0	0	0	1
0	0	999999	999999	999999	0	0	0	1
999999	0	999999	999999	999999	0	0	0	1
0	999999	999999	999999	999999	0	0	0	1
999999	999999	999999	999999	999999	0	0	0	1
0	0	0	0	0	999999	0	0	1
999999	0	0	0	0	999999	0	0	1
0	999999	0	0	0	999999	0	0	1
999999	999999	0	0	0	999999	0	0	1
0	0	999999	0	0	999999	0	0	1
999999	0	999999	0	0	999999	0	0	1
0	999999	999999	0	0	999999	0	0	1
999999	999999	999999	0	0	999999	0	0	1
0	0	0	999999	0	999999	0	0	1
999999	0	0	999999	0	999999	0	0	1
0	999999	0	999999	0	999999	0	0	1
999999	999999	0	999999	0	999999	0	0	1
0	0	999999	999999	0	999999	0	0	1
999999	0	999999	999999	0	999999	0	0	1
0	999999	999999	999999	0	999999	0	0	1
999999	999999	999999	999999	0	999999	0	0	1
0	0	0	0	999999	999999	0	0	1
999999	0	0	0	999999	999999	0	0	1
0	999999	0	0	999999	999999	0	0	1
999999	999999	0	0	999999	999999	0	0	1
0	0	999999	0	999999	999999	0	0	1
999999	0	999999	0	999999	999999	0	0	1
0	999999	999999	0	999999	999999	0	0	1
999999	999999	999999	0	999999	999999	0	0	1
0	0	0	999999	999999	999999	0	0	1
999999	0	0	999999	999999	999999	0	0	1
0	999999	0	999999	999999	999999	0	0	1
999999	999999	0	999999	999999	999999	0	0	1
0	0	999999	999999	999999	999999	0	0	1
